,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
KCNJ3,2.2227979909765,3.24308747961706,0.842880858189408,3.84762264809707,0.000119269572042,0.000469366348489
PRKAG1,220.555116168623,0.49638279661908,0.129088546137903,3.84528923339801,0.000120410324545,0.000473755162045
TBX5,1.87281781150188,3.93268210237915,1.02292803972883,3.84453446346203,0.00012078151069,0.000475114893608
NOP2,241.952399270825,-0.575837938904977,0.149822031533647,-3.84347971396754,0.000121302030469,0.000477061354151
GSAP,3.90329733724984,3.15093493154889,0.819850527960766,3.84330414397156,0.00012138887947,0.000477301794025
RAB7B,10.0171974425988,2.65496196926821,0.690883614038359,3.84284981626558,0.000121613893434,0.000478085282468
RASSF2,4.16906684469557,-2.66573281608705,0.693845253605176,-3.84197024082253,0.000122050637034,0.00047970060878
GPR153,3.85149719086642,-2.59452572788168,0.675468307681455,-3.84107692156186,0.000122495718219,0.000481348013823
ATP2A2,557.050511674137,-0.399793603504347,0.104086325747654,-3.84098103792811,0.000122543581442,0.000481434180384
TIPIN,13.3258009250852,-1.3149119453654,0.342400129525298,-3.84027876154249,0.000122894681846,0.000482711379415
SEMA5A,96.4287560507905,-0.941624572232922,0.245238655121983,-3.8396254120891,0.000123222172754,0.000483895323215
GLCE,20.0558287710685,-1.16233325014093,0.302737443589495,-3.83941027036295,0.000123330192315,0.000484114688083
UGCG,41.7651697383948,-0.988035451438709,0.257337427671213,-3.83945491481741,0.00012330776964,0.000484114688083
PPA2,379.215856018706,-0.362594846733368,0.094448572774283,-3.83907174118883,0.000123500343696,0.000484680101486
BOD1L1,169.005649676871,0.475609615831625,0.12390252789077,3.83857879195905,0.000123748505393,0.000485551364535
EIF3B,473.739581010062,-0.337254080169313,0.087864369017363,-3.83834862687818,0.000123864536571,0.000485801266081
RASSF6,1.16288924555143,4.04981571098069,1.05508007776156,3.83839653154356,0.000123840378348,0.000485801266081
ALDH18A1,139.439510486292,0.504494843399757,0.131439505515803,3.83822840340115,0.000123925184585,0.000485936459959
CNNM1,2.79027959771103,3.18368394422762,0.829658509365519,3.83734260335899,0.000124372899567,0.000487589046391
RPL36,1095.55262917069,-0.392280637530382,0.10222868309259,-3.83728544341207,0.000124401842553,0.000487599536172
CH507-254M2.1,5.78082283871911,-2.07893574353657,0.541784556831476,-3.83720007763757,0.000124445079405,0.000487666035252
TMEM106A,21.7537465030051,1.56565388375533,0.408044229904164,3.83697101689945,0.00012456116623,0.000488017925018
CAMK1D,7.67648855048098,-2.38262778583068,0.621005135056163,-3.83672799358607,0.000124684440817,0.000488397821245
